Metric,AUROC
fident_pdb,0.6766939598908271
alntmscore_pdb,0.6633440132906135
plddt,0.6558490566037736
evalue_pdb,0.6417764328942684
similarity_check,0.6372282608695652
similarity_check,0.6372282608695652
iptm,0.6363425253991293
bits_pdb,0.615936869585855
prob_pdb,0.6111012222617775
qtmscore_pdb,0.608935564257743
aggrescan3d_avg_value,0.6020899854862118
ss_prop_beta_strand,0.5970101596516691
aggrescan3d_avg_value_binder,0.5924647342420093
budeff_charge_per_aa,0.5806095791001451
budeff_charge_per_aa_binder,0.5796843479292749
ss_prop_beta_strand_binder,0.5775780230212413
fident_swissprot,0.5760946956212175
num_residues,0.5747169811320754
lddt_pdb,0.5697757208971164
lddt_swissprot,0.566631066809066
num_residues_binder,0.5663640678770618
composition_ASN_binder,0.5475851429927614
esm_pll,0.5468214804063861
rosetta_hbond_sr_bb_per_aa,0.5431059506531205
rosetta_fa_intra_sol_xover4_per_aa_binder,0.5408011427891197
rosetta_fa_intra_sol_xover4_per_aa,0.5155878084179971
rosetta_lk_ball_wtd_per_aa,0.5107692307692308
rosetta_hbond_sr_bb_per_aa_binder,0.5040771382655794
rosetta_lk_ball_wtd_per_aa_binder,0.48991131480269035
composition_GLU_binder,0.4731221075115699
composition_ASN,0.46644412191582
composition_GLU,0.4631640058055152
evalue_swissprot,0.4563605078913018
prob_swissprot,0.45194019223923104
bits_swissprot,0.448439539575175
alntmscore_swissprot,0.4477868755191646
qtmscore_swissprot,0.44395989082710335
evoef2_interS_total_per_aa_binder,0.4395395751750327
isoelectric_point_binder,0.43381393141094104
evoef2_interS_total_per_aa,0.43326560232220607
rosetta_hbond_bb_sc_per_aa,0.4322786647314949
isoelectric_point,0.4322206095791002
composition_LYS_binder,0.4257742969028124
composition_LYS,0.4244992743105951
ss_prop_alpha_helix,0.38287373004354136
rosetta_hbond_bb_sc_per_aa_binder,0.38217963216475204
rosetta_hbond_lr_bb_per_aa,0.37753265602322206
ss_prop_alpha_helix_binder,0.3755488311380088
rosetta_hbond_lr_bb_per_aa_binder,0.3675971668353074
